"name","logo_image_url","tier", "info", "events_hosted"
"Devfolio", "https://technica-brand-assets.s3.amazonaws.com/devfolio.png", "Gold", "info"
"Matic", "https://www.hackthemountain.tech/img/matic.fd9b118f.svg", "Gold", "info"
"Fold", "https://www.hackthemountain.tech/img/fold.a6283399.png", "Gold", "info"
"Portis", "https://www.hackthemountain.tech/img/portis.f32b0892.svg", "Gold", "info"
"Wolfram Language", "https://www.hackthemountain.tech/img/wolfram.e204d33f.png", "Gold", "info"
"Echo AR", "https://www.hackthemountain.tech/img/echoar.4692c570.png", "Gold", "info"
"Digital Ocean", "https://www.hackthemountain.tech/img/digitalocean.4afb3858.svg", "Gold", "info"
"Replit", "https://www.hackthemountain.tech/img/repl.4f149d9d.svg", "Gold", "info"
"Bubble", "https://www.hackthemountain.tech/img/bubble.83ba1f84.svg", "Gold", "info"
"Hack Club Bank", "https://www.hackthemountain.tech/img/hackclubbank.9997fc83.svg", "Gold", "info"
"Balsamiq", "https://www.hackthemountain.tech/img/balsamiq.05247782.svg", "Silver Plus", "info"
"Sashido", "https://www.hackthemountain.tech/img/shashido.58e8b8c9.jpeg", "Silver Plus", "info"
".xyz", "https://www.hackthemountain.tech/img/xyz.8d040a27.png", "Silver Plus", "info"
"Voiceflow", "https://technica-brand-assets.s3.amazonaws.com/voiceflow.png", "Silver Plus", "info"
"Sticker Mule", "https://www.hackthemountain.tech/img/stickermule.1d284c5d.png", "Silver Plus", "info"
"Jet Brains", "https://www.hackthemountain.tech/img/jetbrains.e1f08d77.png", "Silver", "info"
"Bugsee", "https://technica-brand-assets.s3.amazonaws.com/htm_other_logo.png", "Silver", "info"
"Interview Cake", "https://www.hackthemountain.tech/img/interviewcake.f2c91591.webp", "Bronze", "info"
"OnePassword", "https://www.hackthemountain.tech/img/1P.25685bd3.png", "Bronze", "info"
"Magoosh", "https://technica-brand-assets.s3.amazonaws.com/magoosh.png", "Bronze", "info"
"Clerky", "https://www.hackthemountain.tech/img/clerky.fcbf2ec1.svg", "Bronze", "info"
"Give My Certificate", "https://www.hackthemountain.tech/img/givemycertificate.35a9c452.webp", "Event Partners", "info"
"Zubi.io", "https://www.hackthemountain.tech/img/zubi.5ae782f3.png", "Event Partners", "info"
"StreamYard", "https://streamyard.com/static/img/6f3cb5cde113ee25325a48a16e256a67.svg", "Event Partners", "info"
"HC", "https://www.hackthemountain.tech/img/happinessclub.16e3df43.webp", "Event Partners", "info"
